dataset,rag,attack,defense,n_questions,asr,mean_e2e,mean_p_at_k,mean_r_at_k,mean_f1_at_k
nq,crag,semantic,none,3,0.6667,0.6667,1.0,1.0,1.0
nq,robust_rag,semantic,none,3,0.6667,0.6667,1.0,1.0,1.0
nq,self_rag,semantic,none,3,0.6667,0.6667,1.0,1.0,1.0
nq,trust_rag,hybrid,none,20,0.25,0.25,0.3,0.3,0.3
nq,trust_rag,semantic,none,20,0.3,0.3,0.35,0.35,0.35
nq,vanilla,hybrid,none,20,0.85,0.85,1.0,1.0,1.0
nq,vanilla,hybrid,perplexity,20,0.85,0.85,0.4,0.4,0.4
nq,vanilla,hybrid,unicode_normalize,20,0.9,0.9,1.0,1.0,1.0
nq,vanilla,hybrid,zero_width_strip,20,0.9,0.9,1.0,1.0,1.0
nq,vanilla,semantic,none,20,0.9,0.9,1.0,1.0,1.0
nq,vanilla,semantic,perplexity,20,0.85,0.85,0.4,0.4,0.4
nq,vanilla,semantic,unicode_normalize,20,0.9,0.9,1.0,1.0,1.0
nq,vanilla,semantic,zero_width_strip,20,0.9,0.9,1.0,1.0,1.0
nq,vanilla,unicode,none,20,0.1,0.1,0.32,0.32,0.32
nq,vanilla,unicode,perplexity,20,0.25,0.2,0.11,0.11,0.11
nq,vanilla,unicode,unicode_normalize,20,0.1,0.0,0.0,0.0,0.0
nq,vanilla,unicode,zero_width_strip,20,0.1,0.0,0.0,0.0,0.0
